Altium Designer Pick and Place Locations
D:\Dropbox\junk\board sketches\ch55x_programmer\Project Outputs for ch55x_programmer\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       09/01/23
Time:       21:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"U1","FP-846AP-MFG","22.5000","24.0000","22.5000","24.0000","24.7000","23.0000","TopLayer","180","FSUSB42MUX"
"J1","A01SB741B1-267","2.7000","24.0000","4.0000","24.0000","1.4000","26.0000","TopLayer","90","DUT_IN"
"R2","ERJ2G(0402)_L","31.3000","22.0000","31.3000","22.0000","31.7000","22.0000","TopLayer","180","10k"
"C5","CAPC1005X06L","25.2000","21.7000","25.2000","21.7000","24.8100","21.7000","TopLayer","0","0.10uF"
"R11","ERJ2G(0402)_L","16.5000","21.0000","16.5000","21.0000","16.5000","20.6000","TopLayer","90","DNP"
"R10","ERJ2G(0402)_L","18.5000","21.0000","18.5000","21.0000","18.5000","20.6000","TopLayer","90","DNP"
"Q2","AO-SOT-23-3L_V","31.3000","19.7000","31.3000","19.7000","32.2500","20.9000","TopLayer","270","AO3401A"
"R13","ERJ2G(0402)_L","16.5000","19.0000","16.5000","19.0000","16.5000","18.6000","TopLayer","90","DNP"
"R12","ERJ2G(0402)_L","18.5000","19.0000","18.5000","19.0000","18.5000","18.6000","TopLayer","90","DNP"
"R3","ERJ2G(0402)_L","31.3000","15.7000","31.3000","15.7000","31.3000","15.3000","TopLayer","90","10k"
"R6","ERJ2G(0402)_L","22.7000","15.6000","22.7000","15.6000","22.7000","15.2000","TopLayer","90","DNP"
"R5","ERJ2G(0402)_L","20.2000","15.6000","20.2000","15.6000","20.2000","15.2000","TopLayer","90","DNP"
"J2","C42605","38.8000","15.0000","41.0000","15.0000","36.6000","11.5000","TopLayer","90","DUT_OUT"
"C4","CAPC1608X09L","8.9000","14.6000","8.9000","14.6000","8.9000","15.2500","TopLayer","270","10uF"
"C3","CAPC2012X10L","2.8000","14.4000","2.8000","14.4000","2.8000","15.1500","TopLayer","270","10uF"
"U3","SOT95P280X130-5N-2","6.0000","14.0000","6.0000","14.0000","4.6000","14.9500","TopLayer","0","BL8568CB5ATR33"
"R8","ERJ2G(0402)_L","20.2000","13.7000","20.2000","13.7000","20.2000","13.3000","TopLayer","90","10k"
"R9","ERJ2G(0402)_L","22.7000","13.6000","22.7000","13.6000","22.7000","13.2000","TopLayer","90","10k"
"Q3","FP-SOT23-MFG","27.5000","10.3000","27.5000","10.3000","26.5500","9.1000","TopLayer","90","AO3400A"
"Q1","AO-SOT-23-3L_V","31.5000","10.3000","31.5000","10.3000","30.5500","9.1000","TopLayer","90","AO3401A"
"R7","ERJ2G(0402)_L","10.8000","9.2000","10.8000","9.2000","10.8000","9.6000","TopLayer","270","10k"
"R4","ERJ2G(0402)_L","27.0000","7.8000","27.0000","7.8000","27.4000","7.8000","TopLayer","180","10k"
"R1","ERJ2G(0402)_L","30.9000","7.8000","30.9000","7.8000","30.5000","7.8000","TopLayer","0","10k"
"J3","A01SB741B1-267","2.7000","6.0000","4.0000","6.0000","1.4000","8.0000","TopLayer","90","CONTROL_IN"
"U2","TSOP65P660X110-20N","21.0000","5.0000","21.0000","5.0000","24.0000","2.0750","TopLayer","180","CH554T"
"SW2","TS-1185","9.9000","4.7000","9.9000","4.7000","9.9000","6.8750","TopLayer","270","TS-1185"
"C2","CAPC2012X10L","14.5000","3.5000","14.5000","3.5000","14.5000","2.7500","TopLayer","90","10uF"
"SW1","TS-1185","31.6000","3.3000","31.6000","3.3000","33.7750","3.3000","TopLayer","180","BOOTLOADER"
"C1","CAPC1005X06L","16.3000","3.1000","16.3000","3.1000","16.3000","2.7100","TopLayer","90","0.10uF"
"R14","ERJ2G(0402)_L","26.1000","2.3000","26.1000","2.3000","26.1000","2.7000","TopLayer","270","DNP"
"L?","BLINKINLABS_LOGO_SMALL","-125.0000","-87.5000","41.9000","26.9000","-125.0000","-87.5000","TopLayer","0","BLINKINLABS_LOGO"
