Altium Designer Pick and Place Locations
C:\Users\matt\Blinkinlabs-Repos\ch55x_programmer\pcb\Project Outputs for ch55x_programmer\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       30/10/23
Time:       20:52
Revision:   36b03b31eadceee4bd676e3bb35e164a37e025d1
Variant:    No variations
Units used: mm

"Designator","Comment","Description","PartNumber","Footprint","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"U1","FSUSB42MUX","IC USB SWITCH DPDT 10MSOP","","FP-846AP-MFG","22.5000","24.0000","TopLayer","180"
"J1","A01SB741B1-267","Micro USB B 1A USB 2.0","MicroXNJ","A01SB741B1-267","2.7000","24.0000","TopLayer","90"
"R2","10k","RES SMD 10K OHM 5% 1/10W 0402","ERJ-2GEJ103X","ERJ2G(0402)_L","31.3000","22.0000","TopLayer","180"
"C5","0.10uF","CAP CER 0.1UF 16V X5R 0402","GRM155R61C104KA88D","CAPC1005X06L","25.2000","21.7000","TopLayer","0"
"R15","1k","RES SMD 1K OHM 1% 1/10W 0402","ERJ-2RKF1001X","ERJ2G(0402)_L","17.0000","20.5000","TopLayer","0"
"D1","LED","LED, 0402, Super Red, 50mcd@20mA, 627~637nm","BL-HUB37A-AV-TRB","BL-Hxx37A-AV-TRB","14.5000","20.5000","TopLayer","0"
"Q2","P_FET","MOSFET P-CH 30V 4A SOT23-3L","AO3401A","AO-SOT-23-3L_V","31.3000","19.7000","TopLayer","270"
"R16","1k","RES SMD 1K OHM 1% 1/10W 0402","ERJ-2RKF1001X","ERJ2G(0402)_L","17.0000","19.0000","TopLayer","0"
"D2","LED","LED, 0402, Super Yellow Green, 35mcd@20mA, 566~576nm","BL-HGE37A-AV-TRB","BL-Hxx37A-AV-TRB","14.5000","19.0000","TopLayer","0"
"R3","10k","RES SMD 10K OHM 5% 1/10W 0402","ERJ-2GEJ103X","ERJ2G(0402)_L","31.3000","15.7000","TopLayer","90"
"R6","DNP","","DNP","ERJ2G(0402)_L","22.7000","15.6000","TopLayer","90"
"R5","10k","RES SMD 10K OHM 5% 1/10W 0402","ERJ-2GEJ103X","ERJ2G(0402)_L","20.2000","15.6000","TopLayer","90"
"J2","C42605","USB A connector, SMD, no tabs","904-241A2032S10100","C42605","38.8000","15.0000","TopLayer","90"
"C4","10uF","CAP CER 10UF 10V X5R 0805","GRM21BR61A106KE19L","CAPC2012X10L","8.9000","14.6000","TopLayer","270"
"C3","10uF","CAP CER 10UF 10V X5R 0805","GRM21BR61A106KE19L","CAPC2012X10L","2.8000","14.4000","TopLayer","270"
"U3","BL8568CB5ATR33","500mA High PSRR, Linear Regulator, w. Output Discharge","BL8568CB5ATR33","SOT95P280X130-5N-2","6.0000","14.0000","TopLayer","0"
"R8","DNP","","DNP","ERJ2G(0402)_L","20.2000","13.7000","TopLayer","90"
"R9","10k","RES SMD 10K OHM 5% 1/10W 0402","ERJ-2GEJ103X","ERJ2G(0402)_L","22.7000","13.6000","TopLayer","90"
"Q3","N_FET","MOSFET N-CH 30V 5.7A SOT23-3L","AO3400A","AO-SOT-23-3L_V","27.5000","10.3000","TopLayer","90"
"Q1","P_FET","MOSFET P-CH 30V 4A SOT23-3L","AO3401A","AO-SOT-23-3L_V","31.5000","10.3000","TopLayer","90"
"R7","10k","RES SMD 10K OHM 5% 1/10W 0402","ERJ-2GEJ103X","ERJ2G(0402)_L","10.8000","9.2000","TopLayer","270"
"R4","10k","RES SMD 10K OHM 5% 1/10W 0402","ERJ-2GEJ103X","ERJ2G(0402)_L","27.0000","7.8000","TopLayer","180"
"R1","10k","RES SMD 10K OHM 5% 1/10W 0402","ERJ-2GEJ103X","ERJ2G(0402)_L","30.9000","7.8000","TopLayer","0"
"J3","A01SB741B1-267","Micro USB B 1A USB 2.0","MicroXNJ","A01SB741B1-267","2.7000","6.0000","TopLayer","90"
"U2","CH554T","8-bit enhanced USB microcontroller","CH552T","TSOP65P660X110-20N","21.0000","5.0000","TopLayer","180"
"SW2","TS-1185","Tact Switch, 3x4mm, 50mA 160gf 12V","TS-1185-B-A-B-A","TS-1185","9.9000","4.7000","TopLayer","270"
"C2","10uF","CAP CER 10UF 10V X5R 0805","GRM21BR61A106KE19L","CAPC2012X10L","14.5000","3.5000","TopLayer","90"
"SW1","TS-1185","Tact Switch, 3x4mm, 50mA 160gf 12V","TS-1185-B-A-B-A","TS-1185","31.6000","3.3000","TopLayer","180"
"C1","0.10uF","CAP CER 0.1UF 16V X5R 0402","GRM155R61C104KA88D","CAPC1005X06L","16.3000","3.1000","TopLayer","90"
"R14","DNP","","DNP","ERJ2G(0402)_L","26.1000","2.3000","TopLayer","270"
"L?","BLINKINLABS_LOGO","Square logo","","BLINKINLABS_LOGO_SMALL","-125.0000","-87.5000","TopLayer","0"
